gene_id,start,end,strand
Sobic.004G229700,60483519,60483979,+
Sobic.004G229800,60491081,60492964,-
Sobic.004G229900,60501519,60501800,+
Sobic.004G230000,60504774,60505925,+
Sobic.004G230100,60507495,60507776,-
Sobic.004G230200,60510698,60512700,+
Sobic.004G230300,60515288,60527508,+
Sobic.004G230500,60527937,60531312,+
Sobic.004G230550,60531761,60532322,-
Sobic.004G230600,60532914,60535455,+
Sobic.004G230650,60540547,60542502,+
Sobic.004G230700,60542637,60546576,-
Sobic.004G230800,60549055,60551054,+
Sobic.004G230900,60551055,60557300,-
Sobic.004G231200,60565907,60571808,+
Sobic.004G231300,60575887,60581539,+
Sobic.004G231350,60591295,60592494,-
Sobic.004G231400,60594460,60596658,+
Sobic.004G231502,60596659,60598895,-
Sobic.004G231600,60599311,60607464,-
Sobic.004G231700,60619877,60623013,+
Sobic.004G231800,60629432,60631048,-
Sobic.004G231850,60635114,60635839,+
Sobic.004G231900,60638095,60645502,+
Sobic.004G232000,60645845,60649506,-
Sobic.004G232100,60650766,60653560,-
Sobic.004G232201,60654291,60655428,-
Sobic.004G232300,60658085,60660686,+
